,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,data_venda,marketplace_venda,cliente,localizacao
1311,2021-08-06,DMB5843,CADEIRA BALANCINHO BABY COM MO,DM TOYS,267.93,29.56,0.0,230.93,-89.65,199,2022-02-21,MAGALU,d6bb24f599a6619bdbe9,APUCARANA PR
1312,2021-08-06,DMB5843,CADEIRA BALANCINHO BABY COM MO,DM TOYS,267.93,29.56,0.0,230.93,-89.65,200,2022-02-22,MAGALU,eec55838ba248a76d86b,BALNEARIO CAMBORIU SC
1313,2021-08-06,DMT5892,AUTO PISTA TURBO RUN CICUITO E,DM TOYS,180.77,38.38,0.0,239.9,22.8,73,2021-10-18,MAGALU,8129af21c0c299cc8bbf,"RIO DE JANEIRO, RJ"
1314,2021-08-06,DMT5892,AUTO PISTA TURBO RUN CICUITO E,DM TOYS,180.77,30.71,0.0,239.9,30.47,81,2021-10-26,MAGALU,a211a56ddf139a0fdd61,"SAO PAULO, SP"
1315,2021-08-06,DMR5546,PATINETE 2 EM 1 JOANINHA ROSA,DM TOYS,245.34,23.29,0.0,181.93,-104.89,193,2022-02-15,MAGALU,8d45cc11e4f995ebc3f6,BLUMENAU SC
1316,2021-08-06,DMR5546,PATINETE 2 EM 1 JOANINHA ROSA,DM TOYS,245.34,23.29,0.0,181.93,-104.89,193,2022-02-15,MAGALU,b7f295be438fd637f0ea,ITAJAI SC
1317,2021-08-06,DMR5546,PATINETE 2 EM 1 JOANINHA ROSA,DM TOYS,245.34,33.98,23.45,199.9,-122.86,202,2022-02-24,MAGALU,9d1b95b63343cea54a9d,"Curitiba, Paraná"
1318,2021-08-06,DMR5546,PATINETE 2 EM 1 JOANINHA ROSA,DM TOYS,245.34,17.91,0.0,139.93,-137.31,203,2022-02-25,ML MHL TOOLS,aa64007fac1c33700cd9,CRICIUMA SC
1319,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 AZUL,ZEIN IMPORT,156.5,55.08,20.39,289.9,54.21,59,2021-10-08,MAGALU,bc6ccffc6aa0a311d8ae,Maricá - RJ
1320,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 AMARELO,ZEIN IMPORT,156.5,49.28,20.39,289.9,34.74,54,2021-10-03,OLIST,2c4d26d638223e85b8ec,"Cacequi, RS"
1321,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 AMARELO,ZEIN IMPORT,156.5,49.28,20.39,289.9,34.74,54,2021-10-03,MAGALU,2c4d26d638223e85b8ec,"Cacequi, RS"
1322,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 VERDE,ZEIN IMPORT,156.5,55.08,20.39,289.9,54.21,20,2021-08-30,MAGALU,7430849e296924b02177,Santa Luzia - MG
1323,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 VERDE,ZEIN IMPORT,156.5,31.99,0.0,249.9,60.37,50,2021-09-29,OLIST,a1575727214e6eaf9e50,"VIAMAO, RS"
1324,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 VERMELHO,ZEIN IMPORT,156.5,55.08,20.39,289.9,54.21,49,2021-09-28,MAGALU,bc6ccffc6aa0a311d8ae,Maricá - RJ
1325,2021-08-10,771370,BR AB CARRO R/C TWIST MULTI FUNC 842088 VERMELHO,ZEIN IMPORT,177.03,31.98,0.0,249.9,41.9,55,2021-10-04,OLIST,2c4d26d638223e85b8ec,CACEQUI RS
1326,2021-08-06,DMR5548,PATINETE 2 EM 1 JOANINHA AZUL,DM TOYS,245.34,36.28,23.45,219.9,-107.16,202,2022-02-24,MAGALU,d485557bf0c447243ce7,"Aparecida de Goiânia, Goiás"
1327,2021-08-06,DMR5548,PATINETE 2 EM 1 JOANINHA AZUL,DM TOYS,245.34,17.91,0.0,139.93,-137.31,203,2022-02-25,ML MHL TOOLS,e310bb36a832a8db3d47,SAO PAULO SP
1328,2021-08-06,DMR5548,PATINETE 2 EM 1 JOANINHA AZUL,DM TOYS,245.34,17.91,0.0,139.93,-137.31,206,2022-02-28,MAGALU,b62d48fda3ef2aadd165,SALVADOR BA
