,data_compra,sku,produto,fornecedor,custo_bruto,comissoes_mktplace,frete,preco_venda,lucro_venda,dias_estoque,cliente,marketplace_venda,marketplace_unificado,data_venda,dia_semana,fim_semana,ano_mes_venda,quarter_venda,uf,regiao_br
494,2020-07-21,20094,PURA DIVERSAO - LOUSA MAGICA MUSICAL,YESTOYS,62.22,20.78,0.0,129.9,43.56,80,551fa55b06a6887344de,ML MHL TOOLS,MERCADO LIVRE,2020-10-09,Friday,False,2020-10,2020-T4,SP,SUDESTE
495,2020-07-21,20094,PURA DIVERSAO - LOUSA MAGICA MUSICAL,YESTOYS,61.81,20.78,0.0,129.9,43.93,126,cf4f0ed79d213d802f36,MAGALU,MAGALU,2020-11-24,Tuesday,False,2020-11,2020-T4,MG,SUDESTE
496,2020-07-21,20114,MUNDO BITA - TAPETE DE ATIVIDADES DO BEBE,YESTOYS,118.91,31.98,0.0,199.9,46.18,151,cf8cb29752953554c8be,MAGALU,MAGALU,2020-12-19,Saturday,True,2020-12,2020-T4,MT,CENTRO-OESTE
497,2020-07-21,20115,MUNDO BITA - CADEIRA DE BALANÇO,YESTOYS,179.31,46.38,31.95,289.9,30.82,12,20d5761824b0bb2b390a,MAGALU,MAGALU,2020-08-02,Sunday,True,2020-08,2020-T3,MG,SUDESTE
498,2020-07-21,20122,SNOOPY - CADEIRA DE BALANÇO ROSA,YESTOYS,179.31,47.83,31.95,289.9,29.38,33,be44001b0d018b28168d,ML ALEGRISHOP,MERCADO LIVRE,2020-08-23,Sunday,True,2020-08,2020-T3,PR,SUL
499,2020-07-22,1938,ARAMADO CASINHA - CX. PAPEL,CARLU,152.97,41.23,21.95,249.9,32.35,41,da64634a44562ff6e1e4,ML ALEGRISHOP,MERCADO LIVRE,2020-09-01,Tuesday,False,2020-09,2020-T3,SP,SUDESTE
500,2020-07-22,1938,ARAMADO CASINHA - CX. PAPEL,CARLU,152.97,41.23,21.95,249.9,32.35,88,836a0ab987d942845ec5,ML ALEGRISHOP,MERCADO LIVRE,2020-10-18,Sunday,True,2020-10,2020-T4,MS,CENTRO-OESTE
501,2020-07-22,1938,ARAMADO CASINHA - CX. PAPEL,CARLU,152.97,39.98,0.0,249.9,55.55,127,6349de0847a6ceab5e4f,ML ALEGRISHOP,MERCADO LIVRE,2020-11-26,Thursday,False,2020-11,2020-T4,SP,SUDESTE
502,2020-07-22,1938,ARAMADO CASINHA - CX. PAPEL,CARLU,152.97,39.98,0.0,249.9,55.55,146,17f4951226a982ce19e9,MAGALU,MAGALU,2020-12-15,Tuesday,False,2020-12,2020-T4,PR,SUL
503,2020-07-22,1367,ALF SILÁBICO 350 PC - 1367,CARLU,45.8,16.98,0.0,74.9,10.16,23,55abc821f14669113687,MAGALU,MAGALU,2020-08-14,Friday,False,2020-08,2020-T3,SP,SUDESTE
